antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'ALARM CLOCK BAKELIKE RED'}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.050523933684262314,0.04757219461799577,0.031140847149112017,0.6163583252190846,12.956272675003447,1.0,0.02873731274301758,2.4825973505769494,0.9719226645057257,0.4650991917707567,0.5971960576822486,0.6354800933230893
frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'ALARM CLOCK BAKELIKE RED'}),0.04757219461799577,0.050523933684262314,0.031140847149112017,0.6546018614270941,12.956272675003447,1.0,0.02873731274301758,2.748932203974007,0.9689105074876294,0.4650991917707567,0.6362223853486291,0.6354800933230893
frozenset({'CHARLOTTE BAG PINK POLKADOT'}),frozenset({'RED RETROSPOT CHARLOTTE BAG'}),0.03630639051507847,0.05057312933536676,0.02558173857431003,0.7046070460704607,13.932439129838768,1.0,0.023745610791090634,3.214114819038987,0.9631951998177941,0.4173354735152487,0.6888723470373727,0.6052218109729735
frozenset({'DOLLY GIRL LUNCH BOX'}),frozenset({'SPACEBOY LUNCH BOX'}),0.04083239041668717,0.04348895557632705,0.02582771682983224,0.6325301204819277,14.544615112031838,1.0,0.024051958816925692,2.6029644815463886,0.9708897827993074,0.4415475189234651,0.6158226487186208,0.6132107615984299
frozenset({'DOTCOM POSTAGE'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.034830520981945196,0.10153982387956904,0.023859890785654547,0.6850282485875706,6.746399810581177,1.0,0.020323205819514197,2.852510334947377,0.8825111150930378,0.2120682116309576,0.6494315944280539,0.46000443437130467
frozenset({'GARDENERS KNEELING PAD KEEP CALM'}),frozenset({'GARDENERS KNEELING PAD CUP OF TEA'}),0.04452206424952034,0.03709352093274954,0.026762434200816646,0.6011049723756906,16.20512038923165,1.0,0.025110954078607844,2.4139345250854896,0.9820123253193771,0.4878923766816143,0.5857385568630594,0.6612951917581371
frozenset({'GARDENERS KNEELING PAD CUP OF TEA'}),frozenset({'GARDENERS KNEELING PAD KEEP CALM'}),0.03709352093274954,0.04452206424952034,0.026762434200816646,0.7214854111405835,16.20512038923165,1.0,0.025110954078607844,3.430620778837436,0.9744363859578471,0.4878923766816143,0.7085075662781712,0.6612951917581371
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.04796575982683131,0.03620799921286958,0.029763368918187632,0.6205128205128205,17.137451226309924,1.0,0.02802662472413303,2.539722164236357,0.989090755349352,0.5470162748643761,0.6062561432578277,0.7212618450390189
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.03620799921286958,0.04796575982683131,0.029763368918187632,0.8220108695652174,17.13745122630992,1.0,0.02802662472413303,5.348833593644674,0.9770243631014578,0.5470162748643761,0.8130433518836386,0.7212618450390189
frozenset({'ROSES REGENCY TEACUP AND SAUCER'}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.04983519456880012,0.04796575982683131,0.03596202095734737,0.721618953603159,15.044459969119398,1.0,0.0335716379837369,3.41989604714688,0.9824930832053811,0.5815433571996819,0.7075934513172495,0.7356812716733744
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER'}),0.04796575982683131,0.04983519456880012,0.03596202095734737,0.7497435897435898,15.044459969119398,1.0,0.0335716379837369,3.7967651036697543,0.9805638388295126,0.5815433571996819,0.7366178911006498,0.7356812716733744
frozenset({'JUMBO  BAG BAROQUE BLACK WHITE'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.04550597727160919,0.10153982387956904,0.028533477640576572,0.6270270270270271,6.175183322857742,1.0,0.023912808722949704,2.408914964960576,0.8780164860359224,0.240763802407638,0.5848753424069637,0.4540173894825058
frozenset({'JUMBO BAG PINK POLKADOT'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.05957593348747971,0.10153982387956904,0.0402912382545383,0.6763005780346821,6.660446632611911,1.0,0.03424190846075869,2.7756001869434748,0.9036986066176272,0.33346905537459287,0.6397175628161301,0.5365514518080388
frozenset({'JUMBO BAG SCANDINAVIAN BLUE PAISLEY'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.03227234712451419,0.10153982387956904,0.02179367343926797,0.6753048780487806,6.650640627954246,1.0,0.018516744996064483,2.767088617535225,0.8779727877994821,0.1945542380324989,0.6386093334116828,0.4449683304972585
frozenset({'JUMBO BAG SPACEBOY DESIGN'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.033551434053229696,0.10153982387956904,0.020957347370492447,0.6246334310850439,6.151610345768259,1.0,0.017550540665820527,2.3935540629458347,0.8665137170695335,0.1836206896551724,0.5822112332949508,0.41551438996112655
frozenset({'JUMBO BAG STRAWBERRY'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.04009445565012053,0.10153982387956904,0.026024499434250014,0.649079754601227,6.392366362296096,1.0,0.021953315468989584,2.560297355028501,0.8787983508379507,0.22510638297872343,0.6094203675069343,0.45268910210681507
frozenset({'JUMBO BAG WOODLAND ANIMALS'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.04201308604319378,0.10153982387956904,0.026221282038667783,0.6241217798594848,6.146571424032824,1.0,0.021955280681204704,2.390295920270555,0.8740283005024805,0.22348008385744236,0.5816417576084842,0.441179106984006
frozenset({'JUMBO STORAGE BAG SUKI'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.057952477001033106,0.10153982387956904,0.03547006444630295,0.6120543293718167,6.027726915281453,1.0,0.029585580138233272,2.3159432986211548,0.8854117889571591,0.2859976199920667,0.5682104995422942,0.4806880173990866
frozenset({'PAPER CHAIN KIT VINTAGE CHRISTMAS'}),"frozenset({""PAPER CHAIN KIT 50'S CHRISTMAS""})",0.03989767304570276,0.05623062921237763,0.02681162985192109,0.6720098643649814,11.950957579131215,1.0,0.024568158592451504,2.8774321793562465,0.9544031620256069,0.38679914833215046,0.6524679166465271,0.574412631220111
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER'}),0.03620799921286958,0.04983519456880012,0.02804152112953215,0.7744565217391305,15.540353126743637,1.0,0.026237088443811833,4.212778896369658,0.9708022033031638,0.4834605597964377,0.762626991684338,0.6685708077599897
frozenset({'RED HANGING HEART T-LIGHT HOLDER'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.03547006444630295,0.10832882373198209,0.023564716879027895,0.6643550624133149,6.132763557527453,1.0,0.019722286519862298,2.6565905706166983,0.8677194382785551,0.19599018003273322,0.6235776746855421,0.4409422905163759
frozenset({'STRAWBERRY CHARLOTTE BAG'}),frozenset({'RED RETROSPOT CHARLOTTE BAG'}),0.03522408619078073,0.05057312933536676,0.02371230383234122,0.6731843575418994,13.311107427776449,1.0,0.02193091156569476,2.905083929042211,0.9586420611177866,0.3819334389857369,0.6557758658870506,0.5710279764363193
frozenset({'WOODLAND CHARLOTTE BAG'}),frozenset({'RED RETROSPOT CHARLOTTE BAG'}),0.04068480346337384,0.05057312933536676,0.02474541250553451,0.6082224909310762,12.02659394275874,1.0,0.02268785467799733,2.423382784072999,0.9557348218382017,0.37204142011834324,0.5873536749653342,0.5487610509130089
